patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
ramp20,30,2240.0,10.28,15089.8125,12500,30,6583.73348,6898.2,11.88,7.82271915403,15.61
ramp20,40,1728.0,10.25,15797.025,12503,40,8482.31441,9361.2,11.84,7.88966052778,15.407
ramp20,8,3008.0,10.31,15248.85625,12489,8,4829.82069,5191.1,11.88,7.81665247659,15.27
ramp20,10,1728.0,10.24,15016.725,12467,9,8068.81946,8898.8,11.84,7.87980995511,15.326
medwave20,-1,2240.0,8.16,14174.78125,9995,100,6240.29231,6479.9,9.51,7.87009727588,15.312
kill15,8,1216.0,4.5,4804.625,4190,7,3909.50166,4046.0,4.7,7.89634477007,15.264
med15,30,1728.0,9.09,10619.94375,8331,30,5704.46232,6293.3,9.49,7.94926133238,16.099
medwave20,30,2240.0,8.16,11998.65625,9923,29,5273.91558,5485.1,9.51,7.77861615756,16.029
high15,40,3008.0,11.39,13884.975,10374,39,4422.21127,4726.8,11.91,7.79605464323,15.194
debug1,4,2752.0,5.55,521.10625,335,3,174.68601,193.9,5.56,8.00053550296,15.115
high15,15,2752.0,11.4,14093.7875,10365,14,4457.33962,5244.2,11.91,7.85189074092,15.572
debug1,6,2240.0,5.33,516.03125,324,5,227.26696,235.9,5.34,8.15605167173,15.089
high15,6,1728.0,8.33,9092.25,7615,6,4882.2259,5388.0,8.74,7.77471998425,15.987
high15,20,2496.0,11.33,13306.8,10328,20,4896.718,5459.2,11.89,7.85800753769,15.416
kill15,10,1216.0,4.51,4849.63125,4190,9,3939.25666,4083.9,4.71,7.88032102882,15.512
kill15,6,1472.0,4.59,4974.75625,4215,5,3218.71423,3460.7,4.75,7.83647535545,15.327
med15,30,2752.0,9.18,11700.8375,8373,29,3801.89345,4353.8,9.53,7.75930623661,15.973
kill15,10,2496.0,4.66,5484.13125,4246,9,2022.6295,2249.9,4.76,7.69083572268,15.191
high15,10,2752.0,11.38,13832.29375,10341,9,4375.21795,5146.9,11.89,7.85141149758,15.27
medwave20,20,1472.0,8.07,11890.85625,9876,19,7681.69601,8271.9,9.44,7.81433885801,15.325
highwave20,20,2752.0,9.34,14977.975,11325,21,4880.93747,5573.2,11.84,7.86512383219,15.266
med15,40,1728.0,9.1,10851.3,8350,39,5865.39461,6430.4,9.48,7.90333233997,16.12
kill15,-1,1984.0,4.63,6552.81875,4281,61,3169.21225,3382.1,4.75,7.86727153386,15.587
med15,4,1984.0,6.06,6597.1875,5536,3,3134.38301,3405.0,6.29,7.6368774147,15.333
kill15,8,1728.0,4.6,4014.39375,3232,7,2166.89075,2378.9,4.75,7.84385427601,15.359
debug1,8,1216.0,4.03,470.13125,258,7,387.08719,395.9,4.03,8.00641509434,15.209
high15,10,3008.0,11.39,12695.2875,10345,9,3990.00512,4321.8,11.91,7.86924985513,15.473
medwave20,40,1984.0,8.15,12642.1875,9935,40,6022.44606,6525.0,9.49,7.76796611529,16.773
ramp20,8,2752.0,10.32,16380.58125,12493,7,5220.30749,6095.1,11.89,7.81896272,15.231
debug1,10,3008.0,5.58,754.64375,343,9,247.162,256.9,5.59,8.38221875,15.178
highwave20,8,2240.0,9.34,13015.40625,11323,7,5691.80747,5949.9,11.86,7.74030564872,15.821
highwave20,15,2496.0,9.36,14408.0625,11356,14,5293.83074,5911.0,11.91,7.7656116095,15.257
med15,10,1216.0,8.9,9261.90625,8235,9,7516.4434,7799.5,9.36,7.80297307132,15.682
medwave20,20,1984.0,8.16,12106.6625,9929,19,5771.05285,6248.6,9.49,7.77661168074,16.474
kill15,20,1984.0,4.65,5496.6875,4259,20,2631.75174,2837.0,4.76,7.73372493573,15.142
med15,40,2496.0,9.2,11485.25625,8392,39,4234.52752,4711.9,9.53,7.84498173408,15.592
med15,40,3008.0,9.17,11472.99375,8364,39,3657.73927,3905.7,9.54,7.88832643104,18.333
medwave20,4,2240.0,6.96,9739.84375,8452,3,4239.22302,4452.5,7.38,7.59518923714,15.205
high15,15,2496.0,11.39,13180.05,10365,14,4851.24913,5407.2,11.89,7.83026370556,15.492
ramp20,15,1472.0,10.16,14883.15625,12432,20,9598.26655,10353.5,11.79,7.88773289431,15.365
highwave20,2,2240.0,3.46,5006.09375,4200,1,2132.97338,2288.5,3.56,7.64579742918,15.284
medwave20,30,1728.0,8.12,12482.94375,9913,29,6724.70766,7397.3,9.46,7.92805220278,16.454
