patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
ramp20,17,1728.0,10.23,0.91,15261.91875,12469,19,8261.23205,9044.1,11.86,7.8692403107,17.789
high15,8,2752.0,11.41,0.97,13453.625,10365,7,4319.88474,5006.0,11.89,7.7724288469,15.33
ramp20,9,1472.0,9.67,0.75,13897.4625,11811,9,8975.90608,9667.8,10.84,7.76862199662,15.249
high15,5,1216.0,4.03,0.09,5207.6625,4380,4,4264.16616,4385.4,4.21,7.70506432482,15.315
kill15,18,2496.0,4.65,0.97,5748.6,4254,17,2124.33526,2358.4,4.76,7.61886443456,15.205
ramp20,20,2752.0,10.31,0.93,16917.275,12509,20,5388.8239,6294.8,11.89,7.83576885625,16.205
med15,7,2240.0,9.13,0.89,9682.3125,8322,6,4206.47564,4426.2,9.51,7.87641402498,15.201
kill15,3,1216.0,2.72,0.57,2826.9625,2523,2,2299.18805,2380.6,2.83,7.78293148515,15.306
high15,2,1728.0,2.87,-0.05,3135.88125,2624,1,1682.48439,1858.3,2.95,7.66765904762,15.291
med15,16,2496.0,9.15,0.9,10738.1625,8335,16,3992.25471,4405.4,9.49,7.93618237337,15.91
ramp20,20,1216.0,10.07,0.86,14595.5625,12420,23,11740.83593,12291.0,11.68,7.81963055533,16.639
highwave20,5,2496.0,8.24,0.78,12473.6625,10010,4,4574.93817,5117.4,9.76,7.71272398642,15.336
ramp20,15,1216.0,10.1,0.87,14041.0,12438,14,11447.57168,11824.0,11.78,7.80717089624,16.638
high15,7,1472.0,8.28,0.6,8936.50625,7591,7,5747.62657,6216.7,8.68,7.76799183996,15.566
high15,3,1984.0,4.86,0.19,5267.2875,4432,2,2500.74075,2718.6,5.06,7.67370139829,15.25
highwave20,9,1728.0,9.26,0.95,13585.05,11279,8,7271.7076,8050.4,11.81,7.88885248516,15.542
kill15,18,3008.0,4.67,0.97,5765.725,4266,17,1848.38853,1962.8,4.76,8.06943987859,15.189
med15,19,2752.0,9.19,0.91,11227.3,8364,19,3648.35818,4177.6,9.53,7.77697805082,15.212
highwave20,20,2240.0,9.34,0.96,13610.84375,11356,19,5885.21111,6222.1,11.88,7.79416378022,15.335
ramp20,18,1984.0,10.27,0.92,15047.0125,12500,17,7197.93346,7766.2,11.88,7.77962834545,16.253
kill15,7,1728.0,4.61,0.96,5094.73125,4225,6,2744.13421,3019.1,4.75,7.76783809974,15.422
kill15,4,2496.0,4.64,0.97,5229.9,4230,3,1894.69541,2145.6,4.76,7.58621663123,15.208
med15,15,1728.0,9.11,0.88,10260.3375,8328,14,5507.09987,6080.2,9.48,7.87836166387,15.738
kill15,4,3008.0,4.66,0.97,5244.90625,4246,4,1670.08352,1785.5,4.78,8.10234611765,15.999
ramp20,20,1984.0,10.28,0.92,15151.44375,12514,20,7244.12942,7820.1,11.86,7.79879272379,15.512
highwave20,15,2496.0,9.33,0.96,14415.8625,11331,15,5291.52978,5914.2,11.86,7.82156645514,15.963
highwave20,20,1728.0,9.3,0.95,13914.28125,11339,21,7527.26899,8245.5,11.86,7.89735369718,15.468
ramp20,19,1472.0,10.16,0.89,14883.0125,12437,21,9635.68286,10353.4,11.74,7.8299234227,16.484
high15,16,3008.0,11.39,0.97,13052.19375,10354,15,4160.17446,4443.3,11.91,7.92439647025,15.572
med15,10,2496.0,9.17,0.9,10559.00625,8368,9,3878.9769,4331.9,9.51,7.91129951056,16.004
high15,5,3008.0,10.9,0.91,12072.83125,9912,4,3810.24787,4109.9,11.49,7.62044554256,16.079
highwave20,15,2752.0,9.37,0.96,15248.3375,11365,14,4846.81559,5673.8,11.89,7.73463933562,15.3
highwave20,19,2240.0,9.34,0.96,13646.0625,11346,18,5895.1855,6238.2,11.89,7.81901636748,15.44
med15,6,2496.0,9.14,0.89,10342.06875,8310,5,3775.6409,4242.9,9.48,7.81977654841,15.252
med15,9,2496.0,9.15,0.9,10470.28125,8327,8,3834.94045,4295.5,9.53,7.91162303539,17.285
highwave20,4,1216.0,3.99,0.11,5445.99375,4926,3,4462.39019,4586.1,4.25,7.73952241834,15.307
med15,16,2240.0,9.16,0.9,10039.75,8362,15,4359.22517,4589.6,9.49,7.8905023278,18.257
kill15,19,2496.0,4.65,0.97,5805.15,4261,18,2163.11993,2381.6,4.76,7.71567655994,16.388
high15,11,1728.0,11.3,0.95,12556.85625,10350,10,6732.82331,7441.1,11.84,7.82965772201,16.069
