patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
kill15,1,1984.0,1.53,0.32,1669.93125,1398,1,804.39698,861.9,1.58,7.6288663331,15.203
kill15,15,1728.0,4.6,0.96,5379.91875,4222,14,2920.93511,3188.1,4.75,7.78830925401,16.64
high15,12,3008.0,11.38,0.96,12974.35,10344,12,4134.61429,4416.8,11.93,7.93353447277,15.8
high15,6,1216.0,4.98,0.2,6252.1875,5265,5,5090.36228,5265.0,5.23,7.80174421252,16.606
kill15,9,3008.0,4.67,0.97,5381.79375,4248,8,1714.21099,1832.1,4.76,8.23476785714,15.436
ramp20,4,1984.0,6.31,-0.21,9037.85625,7669,3,4310.79402,4664.7,6.65,7.65933289885,18.546
high15,20,2752.0,11.4,0.97,14275.19375,10378,19,4526.50733,5311.7,11.86,7.76765432336,15.192
high15,9,1216.0,8.65,0.64,9269.74375,8005,11,7460.20243,7806.1,9.14,7.88330813373,15.797
med15,2,3008.0,4.57,-0.3,5034.2875,4150,1,1604.30375,1713.8,4.73,7.61258829198,15.219
highwave20,2,1984.0,3.14,-0.03,4494.80625,3823,1,2134.96643,2319.9,3.36,7.67419142259,15.323
highwave20,13,2240.0,9.34,0.96,13456.1875,11351,15,5827.89436,6151.4,11.89,7.85188641563,16.991
highwave20,16,2752.0,9.37,0.96,15445.86875,11363,17,4886.55819,5747.3,11.86,7.85295342707,15.305
med15,6,2752.0,9.17,0.9,10972.25625,8338,5,3499.27518,4082.7,9.53,7.76563478365,16.699
ramp20,10,1728.0,10.18,0.89,14939.94375,12412,10,8028.95293,8853.3,11.88,7.85190935437,16.92
high15,15,1472.0,11.23,0.95,12310.75,10305,14,7980.90894,8564.0,11.79,7.84713586588,15.354
med15,1,2752.0,1.95,-0.3,2440.51875,1780,1,762.1706,908.1,2.06,7.6951398091,15.124
highwave20,17,3008.0,9.38,0.97,14319.43125,11372,16,4565.31513,4874.7,11.89,7.81833702143,16.005
kill15,11,3008.0,4.67,0.97,5494.3,4255,10,1748.11238,1870.4,4.76,7.9512905041,15.691
kill15,11,2752.0,4.66,0.97,5893.15,4248,10,1877.62103,2192.8,4.76,7.73986589948,15.385
med15,18,2496.0,9.18,0.91,10769.60625,8357,17,3980.05944,4418.3,9.51,7.85562001433,16.579
high15,18,1728.0,11.3,0.95,12785.68125,10336,21,6901.29169,7576.7,11.84,7.84790576422,15.881
high15,6,2496.0,11.09,0.93,12572.86875,10084,6,4588.62415,5158.1,11.74,7.66519177403,15.199
med15,1,2496.0,1.86,-0.3,2096.49375,1702,0,770.12927,860.1,1.9,7.75935311398,15.131
ramp20,5,3008.0,10.07,0.86,14814.10625,12210,4,4688.72888,5043.1,11.48,7.76297412805,15.204
ramp20,5,1472.0,5.92,-0.3,8456.66875,7233,4,5434.71297,5882.9,6.31,7.67304546083,15.403
med15,15,1472.0,9.06,0.86,9905.2375,8309,14,6422.0542,6890.6,9.46,7.83358284272,15.961
med15,14,2496.0,9.16,0.9,10649.4375,8351,13,3897.41283,4369.0,9.51,7.8641145385,15.916
kill15,16,1472.0,4.57,0.95,5271.3125,4215,15,3437.88879,3667.0,4.71,7.69342198582,16.282
highwave20,14,2240.0,9.34,0.96,13637.3125,11362,15,5912.73532,6234.2,11.89,7.83477155665,16.104
highwave20,9,3008.0,9.38,0.97,13882.33125,11350,8,4393.42318,4725.9,11.93,7.918340729,15.736
high15,2,1472.0,2.44,-0.1,2611.3625,2241,1,1686.21767,1816.6,2.53,7.70849063336,15.186
ramp20,3,3008.0,6.86,-0.06,10023.3375,8307,2,3179.5264,3412.2,7.04,7.64414586593,19.348
ramp20,17,2240.0,10.27,0.92,15080.625,12487,17,6476.44071,6894.0,11.84,7.82607021753,15.941
ramp20,6,1472.0,7.0,-0.02,10062.64375,8558,6,6507.18673,7000.1,7.4,7.78088136385,16.509
highwave20,3,2496.0,5.52,0.35,8263.6125,6695,2,3036.08492,3390.2,5.91,7.6235851874,15.343
med15,2,1216.0,2.01,-0.3,2120.51875,1876,1,1709.40446,1785.7,2.1,7.63702876931,16.736
highwave20,16,1984.0,9.33,0.96,13668.48125,11360,15,6514.03053,7054.7,11.89,7.79224597802,16.068
med15,2,2240.0,3.58,-0.3,4009.46875,3262,1,1666.76386,1832.9,3.73,7.65523628563,15.875
kill15,11,1984.0,4.65,0.97,5227.375,4246,10,2502.19887,2698.0,4.76,7.88001151316,16.108
kill15,19,1728.0,3.64,0.76,5488.93125,4224,18,2984.41675,3252.7,4.7,8.22301532296,15.326
high15,19,1472.0,11.26,0.95,12373.28125,10321,18,7998.97298,8607.5,11.84,7.79815833253,15.227
kill15,20,2240.0,4.65,0.97,5512.0625,4254,19,2385.67867,2519.8,4.75,7.7309957875,15.185
high15,16,1472.0,11.21,0.94,12306.725,10290,16,7987.483,8561.2,11.81,7.8380732583,16.153
high15,20,2496.0,11.38,0.96,13307.04375,10366,19,4891.70115,5459.3,11.91,7.82046056813,15.682
ramp20,13,1216.0,10.01,0.84,14014.04375,12390,12,11381.36292,11801.3,11.71,7.8232923722,15.855
med15,10,1216.0,8.89,0.8,9292.30625,8233,10,7570.47025,7825.1,9.41,7.73650697562,15.269
med15,11,1728.0,9.08,0.87,10171.575,8331,10,5491.91146,6027.6,9.49,7.88931483036,16.141
ramp20,12,1216.0,9.99,0.84,14047.175,12368,11,11364.45365,11829.2,11.64,7.73865804992,15.607
high15,7,3008.0,11.33,0.96,13043.0875,10301,6,4131.43373,4440.2,11.86,7.83536412147,15.703
ramp20,1,2240.0,1.82,-0.3,2547.78125,2214,0,1108.99454,1164.7,1.88,7.62390379404,15.19
kill15,12,1216.0,4.44,0.93,4998.06875,4187,11,4038.19481,4208.9,4.66,7.91712982373,16.213
high15,6,2752.0,11.3,0.95,13127.63125,10273,6,4248.53245,4884.7,11.91,7.71778684697,15.617
high15,19,2496.0,9.44,0.73,13475.9625,10362,25,4983.65402,5528.6,11.51,8.04882661019,15.588
kill15,6,1216.0,4.51,0.94,4714.01875,4190,5,3838.272,3969.7,4.71,7.83571394517,16.204
med15,4,1216.0,3.71,-0.3,4174.3,3574,5,3388.41722,3515.2,4.16,7.76099664711,15.414
high15,17,2240.0,11.34,0.96,12738.25,11160,17,5406.17881,5823.2,11.88,7.84815218753,15.699
med15,14,1984.0,9.14,0.89,10107.9375,8343,13,4833.14166,5217.0,9.51,7.71823791288,16.354
kill15,3,2240.0,4.62,0.96,4913.78125,4204,2,2124.54879,2246.3,4.75,7.57831621493,15.512
high15,1,1216.0,1.01,-0.27,1059.84375,957,0,862.05848,892.5,1.06,7.73006583072,15.209
ramp20,12,2752.0,10.3,0.93,16953.55625,12497,12,5338.3466,6308.3,11.91,7.89106443361,16.324
high15,6,3008.0,11.33,0.96,12639.475,10288,5,4003.30445,4302.8,11.86,7.74836996017,17.814
ramp20,20,2240.0,10.24,0.91,15147.78125,12478,29,6577.24827,6924.7,11.84,7.77997737267,15.301
med15,14,1728.0,9.1,0.88,10139.85,8320,13,5455.19365,6008.8,9.46,7.75786283451,15.9
high15,3,2240.0,5.32,0.24,5589.5,4845,2,2434.14417,2555.2,5.54,7.66039797813,15.22
kill15,8,1472.0,4.55,0.95,5044.04375,4189,8,3265.62666,3508.9,4.73,7.73895115559,15.214
kill15,7,1216.0,4.52,0.94,4746.675,4187,6,3872.59166,3997.2,4.7,7.85352110661,17.003
med15,20,1984.0,9.12,0.89,10237.3625,8333,19,4912.51152,5283.8,9.49,7.82574880268,16.0
ramp20,7,1472.0,8.12,0.3,11599.475,9916,6,7474.2694,8069.2,8.63,7.72089256198,15.319
highwave20,4,1984.0,6.1,0.44,8777.45625,7420,3,4188.01073,4530.3,6.66,7.65400040415,16.106
high15,11,2240.0,11.37,0.96,12208.21875,10362,10,5313.08819,5580.9,11.88,7.85689124566,15.812
high15,5,1984.0,8.03,0.57,8670.11875,7321,4,4105.03927,4474.9,8.31,7.6955621843,15.317
high15,4,3008.0,8.91,0.67,9861.1875,8092,3,3127.17572,3357.0,9.36,7.65523187153,15.278
ramp20,15,1728.0,10.24,0.91,15351.01875,13336,16,8214.14152,9096.9,11.84,7.84303939485,16.631
highwave20,17,1472.0,9.25,0.94,13482.6,11304,17,8737.48364,9379.2,11.83,7.78092324,15.755
ramp20,7,3008.0,10.32,0.93,15175.7125,12494,6,4818.27469,5166.2,11.89,7.8761348,15.967
kill15,13,2496.0,4.65,0.97,5638.9125,4255,13,2071.92943,2313.4,4.76,7.87886035614,15.37
med15,12,2752.0,9.19,0.91,11162.8,8359,11,3566.39315,4153.6,9.53,7.85786833931,15.176
med15,17,2496.0,9.16,0.9,10795.44375,8361,16,3998.50529,4428.9,9.51,7.9141029008,15.975
high15,5,1728.0,7.07,0.45,7763.5125,6457,4,4155.84075,4600.6,7.31,7.66691069494,15.593
highwave20,6,2496.0,9.19,0.93,13854.2625,11152,5,5068.46529,5683.8,11.63,7.6990237519,15.897
ramp20,2,1984.0,3.18,-0.3,4551.76875,3869,1,2175.2123,2349.3,3.36,7.64640620155,15.194
ramp20,15,1472.0,10.17,0.89,14849.23125,12450,16,9608.53095,10329.9,11.79,7.8133452591,15.739
high15,7,2496.0,11.29,0.95,12821.98125,10282,6,4689.15664,5260.3,11.86,7.80551759331,15.723
med15,7,1728.0,8.13,0.53,9429.58125,7451,6,5072.65774,5587.9,8.48,7.73114161191,16.147
highwave20,7,2496.0,9.33,0.96,14077.05,11315,6,5153.39521,5775.2,11.88,7.76166672555,16.267
med15,7,2752.0,9.18,0.91,10775.2625,8340,6,3476.72211,4009.4,9.53,7.82259261922,15.879
high15,12,1728.0,11.28,0.95,12521.5875,10307,11,6740.74983,7420.2,11.86,7.8758412483,16.488
kill15,8,1216.0,4.49,0.94,4802.13125,4171,8,3912.80859,4043.9,4.68,7.86191768366,16.287
highwave20,11,1728.0,9.25,0.94,13823.15625,11306,10,7435.32247,8191.5,11.84,8.00283147755,20.593
med15,14,1472.0,9.07,0.87,9903.08125,8310,13,6449.48405,6889.1,9.48,7.78765300973,15.721
med15,6,1984.0,8.07,0.51,9275.39375,7379,5,4415.88967,4787.3,8.51,7.63601963705,15.603
med15,16,1984.0,9.15,0.9,10176.525,8358,15,4884.81249,5252.4,9.49,7.7799586767,20.161
kill15,16,1984.0,4.63,0.96,5361.0625,4243,15,2583.89245,2767.0,4.75,7.80458125881,15.255
highwave20,6,1984.0,8.32,0.8,11958.6375,10109,5,5680.74358,6172.2,9.81,7.75946045086,16.119
ramp20,14,1728.0,10.23,0.91,15047.775,12463,14,8089.06091,8917.2,11.81,7.84966017472,16.781
highwave20,6,1728.0,7.73,0.7,11306.925,9422,5,6056.39508,6700.4,8.74,7.83866723242,16.025
highwave20,16,1472.0,9.23,0.94,13469.23125,11301,15,8728.32137,9369.9,11.76,7.7915708731,16.891
high15,4,2240.0,7.09,0.45,7426.34375,6460,4,3248.97105,3394.9,7.43,7.63896116955,15.326
highwave20,18,2240.0,9.34,0.96,13512.84375,11356,17,5868.12454,6177.3,11.86,7.84854910754,16.777
high15,14,1728.0,11.3,0.95,12604.44375,10341,13,6790.61642,7469.3,11.84,7.85241877535,16.002
kill15,7,2496.0,4.65,0.97,5384.925,4235,6,1974.45366,2209.2,4.76,7.72777906154,15.133
highwave20,17,1728.0,9.31,0.95,13864.33125,11349,16,7491.65693,8215.9,11.88,7.91132626485,15.326
highwave20,3,1728.0,4.23,0.15,6153.13125,5147,2,3307.26989,3646.3,4.4,7.72766109924,15.225
kill15,11,1216.0,4.49,0.94,4913.04375,4194,10,3995.59412,4137.3,4.7,7.91662868696,16.13
high15,9,3008.0,11.41,0.97,12725.54375,10363,8,4031.23877,4332.1,11.91,7.8591078006,16.739
med15,19,3008.0,9.21,0.92,10743.025,8382,18,3416.19431,3657.2,9.53,7.89826869048,15.189
med15,1,1984.0,1.5,-0.3,1677.68125,1381,0,802.1363,865.9,1.58,7.67596741492,15.227
med15,10,1472.0,9.02,0.85,9811.08125,8287,10,6324.14575,6825.1,9.46,7.88470929252,16.631
kill15,7,1984.0,4.64,0.97,5135.34375,4236,7,2438.06602,2650.5,4.73,7.78589865661,15.228
high15,12,1984.0,11.3,0.95,12398.45,10310,11,5932.47794,6399.2,11.88,7.87290863288,16.712
ramp20,5,1728.0,6.86,-0.06,10025.60625,8363,4,5368.49853,5941.1,7.31,7.71264658779,15.652
kill15,18,1728.0,4.62,0.96,5461.93125,4237,17,2968.98434,3236.7,4.75,7.7162348378,15.217
kill15,16,2496.0,4.65,0.97,5728.85625,4248,16,2132.91875,2350.3,4.76,7.70536092871,15.22
med15,20,2240.0,9.15,0.9,10377.9375,8353,20,4490.54377,4744.2,9.51,7.81566320315,15.303
ramp20,3,1984.0,4.73,-0.3,6790.74375,5752,2,3247.71497,3504.9,5.01,7.64568839068,15.766
kill15,17,1216.0,4.53,0.94,5195.075,4204,16,4162.23368,4374.8,4.73,7.88692345972,16.122
kill15,2,2752.0,3.81,0.79,4487.85625,3472,2,1447.7746,1669.9,4.09,7.62853857225,15.147
kill15,5,1472.0,4.58,0.95,4978.49375,4209,4,3188.16627,3463.3,4.73,7.64793876098,15.522
kill15,14,2496.0,4.65,0.97,5635.74375,4251,13,2093.47346,2312.1,4.76,7.75840994371,15.219
high15,7,1216.0,6.41,0.37,7210.38125,6289,7,5883.4626,6071.9,7.36,7.72150571792,15.7
high15,9,1984.0,11.31,0.96,12276.0,10309,8,5854.65139,6336.0,11.86,7.78627469226,15.488
kill15,17,2496.0,4.65,0.97,5723.49375,4251,16,2119.86872,2348.1,4.76,7.71753105226,15.617
kill15,1,2752.0,1.96,0.41,2390.2625,1787,0,745.47154,889.4,2.1,7.66642977057,16.208
ramp20,15,2240.0,10.3,0.93,14693.875,12497,15,6375.45623,6717.2,11.88,7.73085453964,15.799
highwave20,9,2752.0,9.38,0.97,14818.60625,11370,8,4746.01069,5513.9,11.88,7.80875760239,16.09
high15,4,1728.0,5.65,0.28,6216.4125,5169,3,3328.62384,3683.8,5.86,7.68154331013,15.194
ramp20,10,1472.0,10.14,0.88,14552.1,12396,9,9375.79277,10123.2,11.78,7.81005513906,16.66
med15,20,1728.0,9.1,0.88,10370.19375,8329,19,5612.29971,6145.3,9.48,7.87390656445,15.526
ramp20,9,1216.0,8.73,0.48,12278.0375,10781,8,9873.5716,10339.4,9.29,7.68390388359,15.345
ramp20,10,3008.0,10.32,0.93,15381.3375,12506,9,4877.94018,5236.2,11.89,7.924452497,16.042
med15,12,2496.0,9.16,0.9,10599.95625,8352,11,3906.30951,4348.7,9.51,7.9597816573,15.356
kill15,1,2496.0,1.57,0.33,1768.40625,1435,0,645.70665,725.5,1.6,7.6657010453,15.366
ramp20,9,1728.0,10.21,0.9,14985.3375,12437,8,8050.77758,8880.2,11.84,7.81341309763,15.938
high15,1,1984.0,1.64,-0.2,1739.4875,1508,0,820.60507,897.8,1.76,7.57858885942,15.13
high15,15,3008.0,11.39,0.97,13010.1875,10355,15,4137.42138,4429.0,11.88,7.89394484089,15.959
highwave20,10,1728.0,9.28,0.95,13644.95625,11309,9,7330.45548,8085.9,11.81,7.86955504506,15.428
kill15,5,1728.0,4.63,0.96,5122.2375,4234,4,2737.01358,3035.4,4.75,7.6964749882,15.313
high15,13,2752.0,11.4,0.97,13926.625,10365,14,4432.84242,5182.0,11.88,7.85537874554,15.89
med15,10,2240.0,9.16,0.9,9724.09375,8346,9,4248.63517,4445.3,9.51,7.94948821065,15.311
med15,11,3008.0,9.21,0.92,10522.125,8369,10,3343.36254,3582.0,9.53,7.89639455782,15.629
med15,5,1472.0,5.7,-0.3,6160.98125,5237,4,3975.91109,4285.9,5.91,7.66278153024,15.23
high15,5,1472.0,6.06,0.33,6522.94375,5560,4,4186.37243,4537.7,6.29,7.71177821711,16.221
kill15,3,1728.0,3.48,0.72,3828.09375,3186,2,2053.58976,2268.5,3.6,7.68306963614,15.316
highwave20,19,1216.0,9.16,0.93,13006.6875,11279,18,10503.94466,10953.0,11.74,7.8528241126,15.32
kill15,16,1216.0,4.52,0.94,5058.5125,4197,15,4104.76403,4259.8,4.7,7.87657051282,15.359
med15,3,1472.0,3.47,-0.3,3774.73125,3304,3,2415.81165,2625.9,3.66,7.67612639855,15.776
ramp20,19,2240.0,10.29,0.92,15080.625,12512,18,6482.63612,6894.0,11.89,7.72269896249,16.101
high15,16,1728.0,11.28,0.95,12644.60625,10326,15,6805.55003,7493.1,11.88,7.86254801276,15.438
highwave20,15,1728.0,9.29,0.95,13791.9375,11318,14,7445.33983,8173.0,11.81,7.88217887399,16.065
kill15,15,2240.0,4.64,0.97,5229.875,4248,14,2285.0207,2390.8,4.76,7.67376020648,19.278
kill15,12,2496.0,4.65,0.97,5579.4375,4251,11,2064.73231,2289.0,4.76,7.69511450023,15.181
ramp20,1,1216.0,1.01,-0.3,1420.4875,1272,0,1148.63091,1196.2,1.06,7.66827751572,15.208
med15,17,1728.0,9.09,0.88,10274.34375,8314,16,5564.38465,6088.5,9.48,7.89494357743,16.06
high15,1,2752.0,2.04,-0.15,2513.08125,1859,0,782.98556,935.1,2.11,7.70700860678,15.321
med15,9,1472.0,9.02,0.85,9783.19375,8282,8,6305.76252,6805.7,9.44,7.83741640531,15.287
high15,9,1472.0,10.34,0.84,11189.64375,9483,9,7176.30723,7784.1,10.99,7.71172092288,15.37
highwave20,19,1984.0,9.33,0.96,13735.90625,11356,18,6594.92894,7089.5,11.86,7.81296474415,16.127
ramp20,17,3008.0,10.32,0.93,15602.53125,12512,16,4969.56271,5311.5,11.86,7.81736151022,15.73
highwave20,10,1472.0,9.13,0.93,13169.225,11191,10,8465.05748,9161.2,11.68,7.77464288903,17.887
kill15,14,1984.0,4.63,0.96,5299.8375,4241,13,2541.24433,2735.4,4.75,7.87654090268,15.914
high15,8,1216.0,7.84,0.54,8307.39375,7281,7,6702.36282,6995.7,8.26,7.76133740395,15.279
highwave20,1,1728.0,1.4,-0.3,2073.6,1718,1,1119.27527,1228.8,1.48,7.73463292612,15.191
med15,4,3008.0,8.89,0.8,9743.6875,8076,3,3049.54772,3317.0,9.21,7.62184082188,15.492
kill15,2,3008.0,4.44,0.93,4899.75,4043,1,1556.79356,1668.0,4.61,7.62627200791,15.29
highwave20,12,2496.0,9.32,0.96,14240.3625,11319,11,5223.66638,5842.2,11.86,7.8730776699,15.968
highwave20,14,3008.0,9.38,0.97,14143.18125,11369,13,4502.7245,4814.7,11.91,7.90464180285,16.655
high15,11,2752.0,11.38,0.96,13822.8875,10347,10,4397.19146,5143.4,11.91,7.89041971613,15.344
kill15,9,1728.0,4.62,0.96,5182.14375,4229,8,2807.1437,3070.9,4.75,7.770661789,15.209
med15,12,2240.0,9.15,0.9,9964.5,8341,13,4321.23176,4555.2,9.51,7.85784773761,15.634
med15,17,1216.0,8.95,0.82,9612.1,8282,16,7776.75675,8094.4,9.38,7.83794191371,15.988
med15,13,3008.0,9.17,0.9,10539.1625,8343,13,3362.43554,3587.8,9.51,7.80460950215,16.1
ramp20,14,3008.0,10.29,0.92,15656.875,12490,16,4988.41826,5330.0,11.88,7.86199936031,15.67
highwave20,6,3008.0,9.35,0.96,13800.9625,11331,5,4381.64607,4698.2,11.84,7.79427390614,15.2
highwave20,5,1984.0,7.48,0.66,10793.61875,9104,5,5131.28316,5570.9,8.26,7.68601394225,15.565
kill15,17,1472.0,4.6,0.96,5304.51875,4228,16,3453.68592,3690.1,4.73,7.72487205467,15.278
kill15,5,1216.0,4.5,0.94,4686.5875,4162,4,3815.48278,3946.6,4.71,7.7418343735,15.242
highwave20,3,1216.0,2.97,-0.05,4156.4875,3680,3,3375.59709,3500.2,3.18,7.80981699701,15.27
kill15,13,1216.0,4.47,0.93,5036.06875,4186,15,4094.25865,4240.9,4.68,7.95930683171,15.565
highwave20,3,1984.0,4.7,0.22,6734.75,5716,2,3190.19307,3476.0,5.04,7.67327212312,15.214
ramp20,14,2240.0,10.29,0.92,14746.59375,12509,13,6404.08502,6741.3,11.89,7.82327375819,16.781
high15,10,2240.0,11.33,0.96,12060.78125,10322,9,5274.37838,5513.5,11.86,7.81518091182,15.688
med15,13,2496.0,9.19,0.91,10671.375,8369,13,3914.92397,4378.0,9.51,7.89274039609,16.263
med15,19,2496.0,9.17,0.9,10824.69375,8360,18,4020.33417,4440.9,9.51,7.88412234423,16.138
ramp20,5,2240.0,8.61,0.44,12074.5625,10467,4,5263.77634,5519.8,8.98,7.70807525547,16.064
kill15,3,2496.0,4.63,0.96,5229.9,4215,2,1918.27219,2145.6,4.76,7.62396205834,15.171
med15,19,1984.0,9.15,0.9,10222.83125,8355,18,4886.52119,5276.3,9.48,7.71865245432,15.616
med15,8,2240.0,9.15,0.9,9717.3125,8345,8,4241.2735,4442.2,9.49,7.88141254639,15.227
ramp20,7,1216.0,6.97,-0.03,9752.4625,8591,6,7869.3911,8212.6,7.28,7.67190996859,15.779
high15,3,2496.0,5.76,0.3,6468.15,5234,2,2384.73271,2653.6,5.91,7.63949847212,15.201
kill15,13,1472.0,4.58,0.95,5170.975,4221,12,3350.29828,3597.2,4.75,7.76557996693,15.197
ramp20,8,1216.0,7.84,0.22,10940.675,9680,8,8861.79338,9213.2,8.19,7.70897357556,16.763
high15,3,2752.0,5.81,0.3,7314.03125,5292,3,2352.28963,2721.5,6.43,7.64829480642,15.282
highwave20,10,2496.0,9.37,0.96,14219.15625,11358,9,5196.79788,5833.5,11.89,7.94474769068,16.335
high15,8,2240.0,11.28,0.95,12040.4375,10299,7,5227.97326,5504.2,11.86,7.80364603144,16.69
kill15,14,3008.0,4.66,0.97,5584.775,4252,13,1785.20187,1901.2,4.76,8.1501017585,15.26
med15,6,3008.0,9.19,0.91,10460.73125,9211,5,3242.19756,3561.1,9.54,7.78480099826,16.026
high15,7,2240.0,11.25,0.95,11940.25,10249,7,5194.3786,5458.4,11.81,7.73130050702,15.926
highwave20,10,2240.0,9.32,0.96,13272.65625,11334,9,5759.415,6067.5,11.88,7.92591016486,15.88
kill15,9,1984.0,4.64,0.97,5322.11875,4246,9,2531.69835,2746.9,4.76,7.93099083431,15.343
med15,18,1984.0,9.14,0.89,10233.875,8350,18,4915.30103,5282.0,9.49,7.80816049235,15.608
kill15,14,2752.0,4.66,0.97,6040.69375,4259,14,1925.25886,2247.7,4.76,7.73558740931,15.718
highwave20,13,2752.0,9.34,0.96,15378.14375,11338,13,4857.09388,5722.1,11.86,7.85914404017,19.814
med15,4,1472.0,4.68,-0.3,4933.93125,4298,3,3194.19769,3432.3,4.84,7.68735898628,15.228
med15,20,2496.0,9.17,0.9,10854.1875,8354,19,4003.64804,4453.0,9.53,7.8989761137,15.758
ramp20,4,1216.0,4.02,-0.3,5646.0875,4973,3,4539.64677,4754.6,4.21,7.68613585209,15.215
kill15,1,1472.0,1.17,0.24,1239.125,1073,0,795.33974,862.0,1.18,7.55250046598,15.125
kill15,10,1216.0,4.51,0.94,4931.6875,4190,9,3973.95294,4153.0,4.68,7.91660966897,15.305
med15,17,1984.0,9.12,0.89,10168.3875,8334,16,4867.88232,5248.2,9.51,7.77243664671,16.061
high15,11,2496.0,11.37,0.96,13055.7375,10353,10,4792.47279,5356.2,11.88,7.9596542507,15.945
med15,18,1728.0,9.11,0.88,10323.45,8339,17,5572.78068,6117.6,9.48,7.86608449019,15.319
med15,3,1728.0,4.0,-0.3,4404.375,3665,2,2354.0398,2610.0,4.13,7.79233078811,15.626
kill15,10,2496.0,4.65,0.97,5496.31875,4243,9,2017.85698,2254.9,4.76,7.83117003763,15.814
med15,17,2752.0,9.17,0.9,11589.84375,8356,16,3657.92343,4312.5,9.53,7.69794612996,15.191
highwave20,18,1216.0,8.96,0.9,13002.76875,11282,17,10528.92905,10949.7,11.56,7.91112496681,16.394
highwave20,9,2240.0,9.35,0.96,13128.9375,11353,8,5729.00086,6001.8,11.89,7.80594753983,16.714
high15,11,3008.0,11.4,0.97,12813.08125,10354,10,4057.6683,4361.9,11.89,7.91578377074,15.731
med15,4,1728.0,5.28,-0.3,5829.975,4828,4,3125.40597,3454.8,5.46,7.72231456954,15.672
med15,18,2752.0,9.19,0.91,11699.49375,8371,17,3675.4091,4353.3,9.53,7.75009966619,15.26
kill15,14,1728.0,4.61,0.96,5317.65,4225,13,2866.25524,3151.2,4.75,7.75484497404,16.342
high15,1,1728.0,1.43,-0.22,1567.0125,1317,0,842.45397,928.6,1.46,7.63139787396,15.186
high15,1,2496.0,1.93,-0.16,2172.7875,1761,0,815.75053,891.4,1.98,7.65902441794,15.145
ramp20,20,3008.0,10.33,0.93,15767.9125,12524,19,5035.79756,5367.8,11.93,7.82983664195,15.192
high15,18,1984.0,11.36,0.96,12611.38125,10367,19,6026.93613,6509.1,11.88,7.76157192374,16.41
med15,15,2496.0,9.18,0.91,10771.06875,8358,15,3973.51564,4418.9,9.53,7.86722094829,16.101
highwave20,7,1728.0,8.43,0.81,12307.6125,10271,6,6615.32557,7293.4,10.11,7.78243728715,15.245
high15,9,2496.0,11.37,0.96,12873.65625,10342,8,4671.74309,5281.5,11.89,7.91841932367,17.292
ramp20,9,3008.0,10.3,0.93,15357.8375,12485,10,4862.733,5228.2,11.86,7.95504833934,16.13
high15,20,1472.0,11.26,0.95,12415.83125,10321,21,8038.24818,8637.1,11.81,7.86286056856,15.257
ramp20,19,2496.0,10.31,0.93,15892.9875,12510,18,5858.15118,6520.2,11.89,7.8903787516,15.327
high15,19,1728.0,11.33,0.96,12695.90625,10363,19,6852.01126,7523.5,11.86,7.86320920825,15.407
high15,10,1728.0,11.28,0.95,12497.11875,10311,10,6685.57821,7405.7,11.83,7.88820007751,15.424
kill15,2,1984.0,3.07,0.64,3316.80625,2801,1,1575.31744,1711.9,3.16,7.59069164882,15.285
ramp20,1,1984.0,1.59,-0.3,2287.21875,1943,0,1094.24697,1180.5,1.66,7.68898404529,15.185
med15,5,1216.0,4.94,-0.3,5189.73125,4584,5,4222.05131,4370.3,5.21,7.57943647854,15.89
kill15,9,1216.0,4.53,0.94,4872.55,4200,8,3955.41904,4103.2,4.71,7.88458293726,15.844
ramp20,2,1728.0,2.77,-0.3,4045.95,3387,1,2174.382,2397.6,2.96,7.72715909091,15.207
ramp20,10,1984.0,10.26,0.91,14840.475,12477,9,7068.04972,7659.6,11.84,7.86627582893,15.533
ramp20,14,1216.0,10.1,0.87,13960.9625,12430,14,11396.27642,11756.6,11.78,7.82942864031,15.842
med15,11,2752.0,9.18,0.91,10952.90625,8352,10,3551.01363,4075.5,9.53,7.88117376226,16.053
med15,2,2752.0,4.08,-0.3,5008.15625,3720,1,1558.95384,1863.5,4.28,7.69142354206,15.324
ramp20,6,2752.0,10.25,0.91,15794.16875,12433,5,5128.11268,5876.9,11.88,7.75807461007,15.448
high15,4,2752.0,8.29,0.6,9882.74375,7542,4,3139.26613,3677.3,8.73,7.72908719852,15.331
highwave20,12,3008.0,9.39,0.97,14210.45,11376,13,4508.79092,4837.6,11.93,7.9766310475,15.63
high15,20,1984.0,11.33,0.96,12604.2125,10352,20,6019.74256,6505.4,11.88,7.81647136521,15.21
highwave20,13,1984.0,9.31,0.95,13566.18125,11325,12,6456.80733,7001.9,11.86,7.80957722502,15.718
high15,8,1984.0,11.14,0.94,12148.70625,10178,9,5789.89063,6270.3,11.86,7.79811720821,16.743
med15,7,2496.0,9.16,0.9,10454.68125,8334,7,3796.3332,4289.1,9.53,7.84971370339,15.835
ramp20,3,2496.0,5.67,-0.3,8480.79375,6872,2,3123.66753,3479.3,5.91,7.71488405586,15.203
high15,19,2752.0,11.39,0.97,14343.99375,10360,18,4520.20226,5337.3,11.91,7.79010878782,15.22
med15,9,1984.0,9.15,0.9,10105.03125,8348,9,4797.13117,5215.5,9.49,7.86242096446,15.378
